callsign	entity	grid	year	qsos	start_ts	end_ts
TS7C	Tunisia	JM56	2009	57187	2009-01-08 07:00:00	2009-01-20 06:59:59
K5D	Desecheo Island	FK68	2009	115590	2009-02-13 23:00:00	2009-02-26 16:39:00
VK9LA	Lord Howe Island	QF98	2009	30160	2009-03-22 06:00:00	2009-04-04 05:59:59
S04R	Western Sahara	IL34	2009	37005	2009-04-12 23:26:00	2009-04-18 11:08:00
FT5GA	Glorioso Island	LH38	2009	50459	2009-09-15 12:04:00	2009-10-07 14:53:00
3D20CR	Conway Reef	RG78	2009	33000	2009-09-30 06:00:00	2009-10-09 05:59:59
K4M	Midway Island	AL18	2009	60787	2009-10-13 12:07:00	2009-10-20 01:10:00
TX3A	Chesterfield Islands	QH90	2009	36148	2009-11-03 07:00:00	2009-12-01 06:59:59
9G5TT, 9G5XX	Ghana	IJ95	2009	39248	2009-11-13 22:57:00	2009-11-27 07:00:00
TX4T	French Polynesia	BH52	2010	34814	2010-02-08 12:31:00	2010-02-26 02:29:00
T32CI, T32MI, T32SI, T32VI	Eastern Kiribati	BJ11	2010	34455	2010-03-25 06:00:00	2010-04-15 05:59:59
YI9PSE	Iraq	LM23	2010	50401	2010-04-03 21:09:00	2010-04-12 09:21:00
IS0R	Sardinia	JM49	2010	40854	2010-05-08 02:33:00	2010-05-14 18:01:00
E4X	Palestine	KM71	2010	80267	2010-05-28 02:01:00	2010-06-07 12:40:00
PJ4B, PJ4D, PJ4I, PJ4W	Bonaire	FK52	2010	34000	2010-10-10 06:00:00	2010-10-23 05:59:59
PJ6A	Saba & St Eustatius	FK87	2010	57515	2010-10-10 06:00:00	2010-10-23 05:59:59
PJ7E	Sint Maarten	FK88	2010	74435	2010-10-10 10:00:00	2010-10-21 04:01:00
5V7TT	Togo	JJ06	2010	55611	2010-10-10 18:08:00	2010-10-23 06:00:00
ZL8X	Kermadec Island	AG10	2010	148570	2010-11-19 14:02:00	2010-12-06 23:37:00
9Q50ON	Dem. Rep. of the Congo	JI75	2010	30507	2010-12-04 07:00:00	2010-12-14 06:59:59
VP8ORK	South Orkney Islands	GC79	2011	63643	2011-01-28 00:28:00	2011-02-08 15:00:00
S9DX	Sao Tome & Principe	JJ30	2011	66697	2011-02-04 22:28:00	2011-02-17 10:24:00
TJ9PF	Cameroon	JJ53	2011	67549	2011-02-11 20:58:00	2011-02-20 19:01:00
4A4A	Revillagigedo	DK48	2011	73088	2011-03-03 07:00:00	2011-03-21 05:59:59
VU4PB	Andaman & Nicobar Islands	NK61	2011	33000	2011-03-15 06:00:00	2011-04-01 05:59:59
5M2TT	Liberia	IJ46	2011	57767	2011-03-31 21:53:00	2011-04-13 06:00:00
T31A	Central Kiribati	BJ11	2011	31751	2011-04-22 05:53:00	2011-04-28 01:00:00
ST0R	Republic of South Sudan	KJ54	2011	121286	2011-07-22 21:36:00	2011-08-10 13:01:00
4W6A	Timor-Leste	PI21	2011	41367	2011-09-16 16:03:00	2011-09-26 03:50:00
OJ0X	Market Reef	JP90	2011	56721	2011-09-20 06:00:00	2011-10-11 05:59:59
T32C	Eastern Kiribati	BJ11	2011	213022	2011-09-25 06:29:00	2011-10-25 04:56:00
3D2R	Rotuma	RH87	2011	66186	2011-09-28 06:00:00	2011-10-06 05:59:59
TX7M, TX5A	Marquesas Islands	BI91	2011	87469	2011-10-19 06:00:00	2011-11-02 05:59:59
3XY1D	Guinea	IJ59	2011	53933	2011-10-19 21:36:00	2011-11-01 13:08:00
ZK2V	Niue	AH50	2011	34199	2011-10-22 06:00:00	2011-12-20 06:59:59
MU/PA9M	Guernsey	IN89	2011	34281	2011-10-23 03:12:00	2011-10-29 17:46:00
TU2T	Cote d\'Ivoire	IJ75	2011	77302	2011-10-27 21:14:00	2011-11-11 07:00:00
HK0NA	Malpelo Island	EJ93	2012	195331	2011-12-31 09:05:00	2012-02-05 23:46:00
C21HA	Nauru	RI39	2012	32393	2012-01-12 07:55:00	2012-02-07 07:13:00
VP6T	Pitcairn Island	CG44	2012	56295	2012-01-13 02:04:00	2012-02-01 23:32:00
PJ4C	Bonaire	FK52	2012	84492	2012-01-14 04:01:00	2012-01-23 23:01:00
TN2T	Republic of the Congo	JI75	2012	50569	2012-01-23 06:17:00	2012-01-31 15:06:00
HU2DX	El Salvador	EK53	2012	45770	2012-01-30 10:03:00	2012-02-11 14:53:00
ZK2C	Niue	AH50	2012	48209	2012-02-04 12:09:00	2012-02-17 23:40:00
PJ7PT	Sint Maarten	FK88	2012	41792	2012-03-06 10:54:00	2012-03-18 20:00:00
A35YZ	Tonga	AG28	2012	41175	2012-03-07 15:41:00	2012-03-22 18:57:00
9M0L	Spratly Islands	OJ79	2012	41679	2012-04-10 15:32:00	2012-04-23 16:20:00
7O6T	Yemen	LK22	2012	162029	2012-05-01 03:00:00	2012-05-16 03:00:00
6O0CW	Somalia	LJ22	2012	53029	2012-05-07 21:01:00	2012-05-18 06:00:00
A5A	Bhutan	NL47	2012	38805	2012-05-24 06:00:00	2012-06-07 05:59:59
1A0C (2012)	Sov Military Order of Malta	JN61	2012	40960	2012-07-01 12:25:00	2012-07-05 11:46:00
CY9M	Saint Paul Island	FN97	2012	33267	2012-07-27 06:25:00	2012-07-31 22:23:00
D64K	Comoros	LH27	2012	61289	2012-08-08 22:22:00	2012-08-21 09:19:00
NH8S	Swains Island	AH48	2012	105391	2012-09-07 10:02:00	2012-09-16 10:01:00
3D2C	Conway Reef	RG78	2012	71693	2012-09-26 06:00:00	2012-10-03 05:59:59
TT8TT	Chad	JK72	2012	71803	2012-10-06 22:37:00	2012-10-16 06:00:00
T30PY, T30SIX	Western Kiribati	RJ61	2012	40211	2012-10-16 06:05:00	2012-10-24 18:00:00
V84SMD	Brunei	OJ74	2012	39141	2012-11-10 07:00:00	2012-11-24 06:59:59
PT0S	Saint Peter and Paul Rocks	HJ50	2012	44178	2012-11-11 05:03:00	2012-11-23 17:17:00
7P8D	Lesotho	KG30	2012	32444	2012-11-22 22:15:00	2012-12-03 11:16:00
5T0SP	Mauritania	IK28	2012	83585	2012-11-25 04:00:00	2012-12-10 22:06:00
ZL9HR	New Zealand Subantarctic Islands	RD47	2012	42922	2012-12-01 07:00:00	2012-12-09 06:59:59
5X8C	Uganda	KJ60	2013	81377	2013-02-07 22:42:00	2013-02-17 17:03:00
9U4U	Burundi	KI46	2013	70324	2013-02-15 00:31:00	2013-02-24 20:53:00
XT2TT	Burkina Faso	IK92	2013	76376	2013-02-21 18:34:00	2013-03-06 07:00:00
TX5K	Clipperton Island	DK50	2013	113603	2013-03-02 12:36:00	2013-03-10 06:59:00
H44G	Solomon Islands	RI00	2013	30254	2013-03-09 14:09:00	2013-03-25 02:58:00
9M4SLL	Spratly Islands	OJ79	2013	43706	2013-03-10 07:00:00	2013-03-19 05:59:59
5W0M	Samoa	AH46	2013	67229	2013-04-04 12:09:00	2013-04-17 10:34:00
HP0INT	Panama	FJ08	2013	32188	2013-09-06 05:31:00	2013-09-19 05:03:00
H7H	Nicaragua	EK62	2013	40808	2013-10-02 10:39:00	2013-10-17 05:47:00
TO2TT	Mayotte	LH27	2013	64009	2013-10-03 16:48:00	2013-10-16 06:00:00
TN2MS	Republic of the Congo	JI75	2013	30133	2013-10-12 06:00:00	2013-10-25 05:59:59
5J0R	San Andres Island	EK92	2013	80508	2013-11-01 19:19:00	2013-11-11 23:03:00
K9W	Wake Island	RK39	2013	100031	2013-11-02 13:57:00	2013-11-15 14:25:00
T33A	Banaba Island	RI49	2013	83098	2013-11-06 06:11:00	2013-11-17 12:57:00
XR0ZR	Juan Fernandez Islands	FF06	2013	59311	2013-11-09 08:56:00	2013-11-21 15:28:00
J88HL	Saint Vincent	FK93	2013	78257	2013-11-15 19:26:00	2013-12-02 02:49:00
XZ1J	Myanmar	NK86	2013	53658	2013-11-15 21:46:00	2013-11-26 09:51:00
S21ZBB, S21ZBC	Bangladesh	NL53	2013	52069	2013-11-16 18:00:00	2013-11-26 04:20:00
3DA0ET	Kingdom of Eswatini	KG53	2013	34949	2013-11-17 09:23:00	2013-11-27 04:14:00
VU7AG	Lakshadweep Islands	MK60	2013	55305	2013-11-20 19:53:00	2013-12-11 01:16:00
FT5ZM	Amsterdam & St Paul Islands	MF82	2014	170110	2014-01-26 16:14:00	2014-02-12 09:20:00
TO7CC	Reunion Island	LG78	2014	48452	2014-02-08 01:57:00	2014-02-16 09:13:00
9J2T	Zambia	KH44	2014	71728	2014-02-28 23:56:00	2014-03-17 06:00:00
4S7DFG, 4S7FRG, 4S7LXG	Sri Lanka	MJ96	2014	34573	2014-03-11 23:30:00	2014-03-22 17:34:00
VP2V/SP...	British Virgin Islands	FK78	2014	44897	2014-03-19 04:59:00	2014-04-01 16:15:00
TX6G	Austral Islands	BG56	2014	76941	2014-03-20 11:40:00	2014-04-02 06:07:00
ZL7AAA	Chatham Island	AE16	2014	32732	2014-03-20 18:37:00	2014-03-31 23:19:00
E51M	North Cook Islands	AH79	2012	48052	2014-03-28 10:11:00	2014-04-10 16:00:00
VK9MT	Mellish Reef	QH72	2014	40114	2014-03-30 10:34:00	2014-04-04 19:53:00
TY1AA	Benin	JJ16	2014	81220	2014-09-11 19:16:00	2014-09-26 06:00:00
T30D	Western Kiribati	RJ61	2014	68972	2014-10-02 12:18:00	2014-10-15 19:02:00
VK9DLX, VK9LM	Lord Howe Island	QF98	2014	116866	2014-10-13 14:46:00	2014-11-10 05:01:00
VK9XSP	Christmas Island	OH29	2014	52257	2014-10-18 20:43:00	2014-10-31 17:38:00
5R8M	Madagascar	LH31	2014	69452	2014-10-21 21:38:00	2014-11-03 17:27:00
FT4TA	Tromelin Island	LH74	2014	70798	2014-10-31 00:59:00	2014-11-10 08:27:00
VU4KV	Andaman & Nicobar Islands	NK61	2014	49801	2014-11-16 20:33:00	2014-12-01 01:30:00
1A0C (2014)	Sov Military Order of Malta	JN61	2014	60247	2014-12-28 15:19:00	2015-01-06 17:23:00
EP6T	Iran	LM55	2015	68044	2015-01-16 22:05:00	2015-01-27 10:08:00
K1N	Navassa Island	FK28	2015	140011	2015-02-02 06:14:00	2015-02-15 18:27:00
3G0ZC	Juan Fernandez Islands	FF06	2015	51583	2015-02-25 08:44:00	2015-03-04 19:08:00
E30FB	Eritrea	KK95	2015	64584	2015-03-06 21:44:00	2015-03-17 15:00:00
9Q0HQ	Dem. Rep. of the Congo	JI75	2015	84379	2015-03-10 16:49:00	2015-03-25 06:00:00
7QAA	Malawi	KH66	2015	67306	2015-03-12 19:43:00	2015-03-31 16:08:00
5Z0L	Kenya	KI88	2015	40326	2015-05-21 13:35:00	2015-05-30 06:00:00
E6GG	Niue	AH50	2015	48708	2015-09-17 03:55:00	2015-09-29 01:13:00
T2GC	Tuvalu	RI91	2015	35308	2015-09-24 11:44:00	2015-10-14 22:58:00
TX3X	Chesterfield Islands	QH90	2015	50117	2015-10-02 03:52:00	2015-10-11 23:17:00
S79SP	Seychelles Islands	LI75	2015	45352	2015-10-03 15:56:00	2015-10-18 20:51:00
V73D	Marshall Islands	RJ57	2015	64686	2015-10-13 12:20:00	2015-10-28 09:01:00
3W3MD	Viet Nam	OL21	2015	50507	2015-10-31 20:10:00	2015-11-10 06:52:00
VK9WA	Willis Island	QH43	2015	61739	2015-11-14 16:25:00	2015-11-24 02:03:00
K5P	Palmyra & Jarvis Islands	AJ85	2016	75327	2016-01-12 15:06:00	2016-01-27 01:44:00
ET7L	Ethiopia	KJ99	2016	45536	2016-01-17 23:02:00	2016-04-30 09:59:00
VP8STI	South Sandwich Islands	HD63	2016	54655	2016-01-18 18:49:00	2016-01-26 03:25:00
VP8SGI	South Georgia Islands	HD15	2016	82847	2016-01-29 21:46:00	2016-02-07 14:41:00
7P8C	Lesotho	KG30	2016	50267	2016-02-09 03:52:00	2016-02-18 06:44:00
3XY1T	Guinea	IJ59	2016	91241	2016-02-18 20:36:00	2016-03-04 07:00:00
TX7EU	Marquesas Islands	BI91	2016	32282	2016-03-04 03:33:00	2016-03-15 20:30:00
5J0P	San Andres Island	EK92	2016	61872	2016-03-07 05:15:00	2016-03-21 11:43:00
VK0EK	Heard Island	MD66	2016	75189	2016-03-23 22:37:00	2016-04-11 06:27:00
FT4JA	Juan de Nova, Europa	LH12	2016	105651	2016-03-30 18:37:00	2016-04-11 02:57:00
EP2A	Iran	LM55	2016	68232	2016-04-15 18:37:00	2016-04-26 15:45:00
CY9C	Saint Paul Island	FN97	2016	64396	2016-08-18 08:46:00	2016-08-29 08:23:00
